Input sentence,Output sentence
"এইজন্য দেখা যায় যে যতদিন পর্যন্ত উৎপাদনের মূল লক্ষ্য ছিল প্রত্যক্ষ স্থানীয় পরিভোগ, ততদিন পর্যন্ত আমেরিকার যুক্তরাষ্ট্রের দক্ষিণের অঙ্গরাজ্যগুলিতে নিগ্রো শ্রমিকদের মধ্যে পিতৃপ্রধান সামাজিক চরিত্রের কিছুটা অবশিষ্ট ছিল।","এইজন্য দেখা যায় যে যতদিন পর্যন্ত উৎপাদনের মূল লক্ষ্য ছিল প্রত্যক্ষ স্থানীয় পরিভোগ, ততদিন পর্যন্ত আমেরিকার যুক্তরাষ্ট্রের দক্ষিণের অঙ্গরাজ্যগুলিতে নিগ্রো শ্রমিকদের মধ্যে পিতৃপ্রধান সামাজিক চরিত্রের কিছুটা অবশিষ্ট ছিল।"
"কিন্তু যেমনি এই রাজ্যগুলিতে তুলোর রপ্তানি পরম স্বার্থ হয়ে উঠতে থাকল, ঠিক সেই অনুপাতেই নিগ্রোদের উপরি খাটুনি এবং মাত্র সাতবছরের পরিশ্রমে তাদের জীবনযাত্রার সমাপ্তি হয়ে উঠল একটি পরিকল্পিত পদ্ধতির হিসেবের ব্যাপার।","কিন্তু যেমনি এই রাজ্যগুলিতে তুলোর রপ্তানি পরম স্বার্থ হয়ে উঠতে থাকল, ঠিক সেই অনুপাতেই নিগ্রোদের উপরি খাটুনি এবং মাত্র সাতবছরের পরিশ্রমে তাদের জীবনযাত্রার সমাপ্তি হয়ে উঠল একটি পরিকল্পিত পদ্ধতির হিসেবের ব্যাপার।"
এখন আর প্রশ্ন এই রইল না যে তার কাছ থেকে একটি নির্দিষ্ট পরিমাণ ব্যবহার-যোগ্য দ্রব্য পেতে হবে।,এখন আর প্রশ্ন এই রইল না যে তার কাছ থেকে একটি নির্দিষ্ট পরিমাণ ব্যবহার-যোগ্য দ্রব্য পেতে হবে।
"এখন প্রশ্ন হয়ে উঠল স্বয়ং উদ্ধও শ্রমের উৎপাদন ঠিক এই জিনিসটি চুক্তিবদ্ধ শ্রমিকদের ক্ষেত্রেও দেখা গেল, যেমন দানিয়ুব নদীর পাশের রাজ্যগুলিতে ( বতমান রুমানিয়)।","এখন প্রশ্ন হয়ে উঠল স্বয়ং উদ্ধও শ্রমের উৎপাদন ঠিক এই জিনিসটি চুক্তিবদ্ধ শ্রমিকদের ক্ষেত্রেও দেখা গেল, যেমন দানিয়ুব নদীর পাশের রাজ্যগুলিতে ( বতমান রুমানিয়)।"
"দানিয়ুবের তীরবর্তী রাজ্যগুলিতে উদ্ধও শ্রমের প্রতি লোভের সঙ্গে ইংল্যাণ্ডের কারখানাগুলিতে ঐ একই লোভের তুলনা করলে একটি গুরুত্ব আছে, কারণ চুক্তিবদ্ধ শ্রমে উদ্বৃত্ত শ্রমের একটি স্বতন্ত্র ও প্রত্যক্ষ রূপ ছিল।","দানিয়ুবের তীরবর্তী রাজ্যগুলিতে উদ্ধও শ্রমের প্রতি লোভের সঙ্গে ইংল্যাণ্ডের কারখানাগুলিতে ঐ একই লোভের তুলনা করলে একটি গুরুত্ব আছে, কারণ চুক্তিবদ্ধ শ্রমে উদ্বৃত্ত শ্রমের একটি স্বতন্ত্র ও প্রত্যক্ষ রূপ ছিল।"
কিন্তু এইটি হচ্ছে শুধুমাত্র আইন-সম্মত কভি।,কিন্তু এইটি হচ্ছে শুধুমাত্র আইন-সম্মত।
"এবং ইংল্যাণ্ডের কারখানা-আইনের চেয়ে অনেক উদারতার সঙ্গে, রেগ লিমেন্ট অর্গানিক এই আইন ফাকি দেবার সুবিধাজনক রাস্তা রেখেছিল।","এবং ইংল্যাণ্ডের কারখানা-আইনের চেয়ে অনেক উদারতার সঙ্গে, রেগ লিমেন্ট অর্গানিক এই আইন ফাকি দেবার সুবিধাজনক রাস্তা রেখেছিল।"
"উদাহরণ স্বরূপ একদিনে যে পরিমাণ জমির আগাছা তুলতে হয়, তাতে, বিশেষতঃ ভুট্টার ক্ষেতে, লাগে দ্বিগুণ সময়।","উদাহরণ স্বরূপ একদিনে যে পরিমাণ জমির আগাছা তুলতে হয়, তাতে, বিশেষতঃ ভুট্টার ক্ষেতে, লাগে দ্বিগুণ সময়।"
কৃষিতে কোণ কোণ গ্রমের ক্ষেত্রে আইনসঙ্গতভাবে দিনের কাজকে এমনভাবে ব্যাখ্যা করা যায় যে শ্রমের দীন শুরু হয় মে মাসে এবং শেষ হয় অক্টোবরে।,কৃষিতে কোন কোন গ্রমের ক্ষেত্রে আইনসঙ্গতভাবে দিনের কাজকে এমনভাবে ব্যাখ্যা করা যায় যে শ্রমের দিন শুরু হয় মে মাসে এবং শেষ হয় অক্টোবরে।
মোল্ডাভিয়ার অবস্থা আরও সাংঘাতিক।,মোল্ডাভিয়ার অবস্থা আরও সাংঘাতিক।
ধনিক ও জমিদার শাসিত একটি রাষ্ট্রের দ্বারা প্রণীত এই আইনগুলি বলপূর্বক শ্রম দিবসকে সীমাবদ্ধ করে মূলধন কর্তৃক শ্রম শক্তিকে যথেচ্ছভাবে শোষণের লালসাকে খর্ব করে।,ধনিক ও জমিদার শাসিত একটি রাষ্ট্রের দ্বারা প্রণীত এই আইনগুলি বলপূর্বক শ্রম দিবসকে সীমাবদ্ধ করে মূলধন কর্তৃক শ্রম শক্তিকে যথেচ্ছভাবে শোষণের লালসাকে খর্ব করে।
"শ্রমিক-আন্দোলন, যা প্রত্যহ অধিকতর শংকাজনক হয়ে উঠ ছিল, সেই আন্দোলন ছাড়াও কারখানায় শ্রমের ঘণ্টা সীমাবদ্ধ করায় প্রয়োজন হয়েছিল সেই তাগিদ থেকে, যার ফলে ইংল্যাণ্ডের ক্ষেতগুলি আগাছায় ভরে গিয়েছিল।","শ্রমিক-আন্দোলন, যা প্রত্যহ অধিকতর শংকাজনক হয়ে উঠ ছিল, সেই আন্দোলন ছাড়াও কারখানায় শ্রমের ঘণ্টা সীমাবদ্ধ করায় প্রয়োজন হয়েছিল সেই তাগিদ থেকে, যার ফলে ইংল্যাণ্ডের ক্ষেতগুলি আগাছায় ভরে গিয়েছিল।"
লুণ্ঠনের একই অন্ধ প্রবৃত্তি প্রথম ক্ষেত্রে মাটিকে শুষে অনুর্বর করেছিল এবং অপরক্ষেত্রে জাতির প্রাণশক্তির মূল পর্যন্ত উপড়ে ফেলেছিল।,লুণ্ঠনের একই অন্ধ প্রবৃত্তি প্রথম ক্ষেত্রে মাটিকে শুষে অনুর্বর করেছিল এবং অপরক্ষেত্রে জাতির প্রাণশক্তির মূল পর্যন্ত উপড়ে ফেলেছিল।
একদিকে যেমন মাঝে মাঝে মহামারীর প্রাদুর্ভাব অন্যদিকে তেমন জার্মানি ও ফ্রান্স সামরিক মানের অধোগতি এই এই সত্যকে প্রকট করে তোলে।,একদিকে যেমন মাঝে মাঝে মহামারীর প্রাদুর্ভাব অন্যদিকে তেমন জার্মানি ও ফ্রান্স সামরিক মানের অধোগতি এই এই সত্যকে প্রকট করে তোলে।
এরা উদ্বৃত্ত শ্রমের জন্য ধনিকের লালসায় নিয়মিত সরকারী তত্ত্ব সরবরাহ করেন।,এরা উদ্বৃত্ত শ্রমের জন্য ধনিকের লালসায় নিয়মিত সরকারী তথ্য সরবরাহ করেন।
এখন একবার কারখানা পরিদর্শকদের বক্তব্য সোনা যাক।,এখন একবার কারখানা পরিদর্শকদের বক্তব্য শোনা যাক।
প্রাতঃরাশের আধ ঘণ্টার শুরুতে পাঁচ মিনিট এবং শেষে পাঁচ মিনিট সে কেটে নেয় এবং প্রদান আহারের জন্য নির্দিষ্ট এক ঘণ্টার শুরুতে দশ মিনিট এবং শেষে দশ মিনিট ফাকি দেয়।,প্রাতঃরাশের আধ ঘণ্টার শুরুতে পাঁচ মিনিট এবং শেষে পাঁচ মিনিট সে কেটে নেয় এবং প্রধান আহারের জন্য নির্দিষ্ট এক ঘণ্টার শুরুতে দশ মিনিট এবং শেষে দশ মিনিট ফাকি দেয়।
"সংকটের সময়ে যখন উৎপাদন ব্যাহত হয় এবং কারখানাগুলি ‘কম সময় অর্থাৎ সপ্তাহের একটি অংশমাত্র কাজ চালায়, এতে কিন্তু শ্ৰম-দিবসকে বাড়াবার প্রবণতা কমে না।","
সংকটের সময়ে যখন উৎপাদন ব্যাহত হয় এবং কারখানাগুলি ‘কম সময় অর্থাৎ সপ্তাহের একটি অংশমাত্র কাজ চালায়, এতে কিন্তু শ্ৰম-দিবসকে বাড়াবার প্রবণতা কমে না।"
ব্যবসায়ে যত মন্দা আসে ততই চলতি ব্যবসায়ে বেশি বেশি লাভের চেষ্টা করতে হয়।,ব্যবসায়ে যত মন্দা আসে ততই চলতি ব্যবসায়ে বেশি বেশি লাভের চেষ্টা করতে হয়।
"যত কম সময় কাজ চলে তত বেশি ঐ সময় থেকে, উদ্বৃত্ত শ্রম-সময় বের করতে হয়।","যত কম সময় কাজ চলে তত বেশি ঐ সময় থেকে, উদ্বৃত্ত শ্রম-সময় বের করতে হয়।"
কিন্তু ঐ মন্দার জন্যই অসৎ লোকের!,কিন্তু ঐ মন্দার জন্যই অসৎ লোকের!
কিন্তু আমি ঠিক আগের মতই অভিযোগ পেয়ে চলেছি যে বিশ্রাম ও আহারের জন্য নির্দিষ্ট সময় কেটে শ্রমিকদের প্রতিদিন আধ ঘণ্টা থেকে পৌনে এক ঘণ্টা বঞ্চিত করা হচ্ছে।,কিন্তু আমি ঠিক আগের মতই অভিযোগ পেয়ে চলেছি যে বিশ্রাম ও আহারের জন্য নির্দিষ্ট সময় কেটে শ্রমিকদের প্রতিদিন আধ ঘণ্টা থেকে পৌনে এক ঘণ্টা বঞ্চিত করা হচ্ছে।
"যায় যে অনেকের পক্ষেই এই লোভ সংবরণ করা সম্ভব নয়, তারা হিসেব করে যে তার ধরা পড়বে না, এবং এখন তারা দেখে যে ধরা পড়ে শাস্তি হলে যে সামান্য জরিমানার খরচখরচা দিতে হয় তাতে তারা ধরা পড়লেও প্রচুর লাভ থাকে।","যায় যে অনেকের পক্ষেই এই লোভ সংবরণ করা সম্ভব নয়, তারা হিসেব করে যে তার ধরা পড়বে না, এবং এখন তারা দেখে যে ধরা পড়ে শাস্তি হলে যে সামান্য জরিমানার খরচখরচা দিতে হয় তাতে তারা ধরা পড়লেও প্রচুর লাভ থাকে।"
এইসব ভদ্রলোকদের মধ্যে কয়েকজনের বিরুদ্ধে অভিযোগ ছিল এই যে তার।,এইসব ভদ্রলোকদের মধ্যে কয়েকজনের বিরুদ্ধে অভিযোগ ছিল এই যে তার।
"এবং এইসব শিশুদের ত্রিশ ঘণ্টা একটা নোংরা অন্ধ কুপে ( ঔ বদ্ধ জায়গাটির এই নাম ছিল ) অবিরাম পরিশ্রম করতে হতো সেখানে পশমের ছেড়া কম্বল টুকরো টুকরো করতে হয় এবং সেখানে ধূলো, ফেসো।","এবং এইসব শিশুদের ত্রিশ ঘণ্টা একটা নোংরা অন্ধ কুপে ( ঔ বদ্ধ জায়গাটির এই নাম ছিল ) অবিরাম পরিশ্রম করতে হত সেখানে পশমের ছেড়া কম্বল টুকরো টুকরো করতে হয় এবং সেখানে ধূলো, ফেসো।"
প্রভৃতিতে ঘরের হাওয়া এমন ঠাসা থাকে যে প্রাপ্ত বয়স্ক শ্রমিকদের পর্যন্ত ফুসফুস বাঁচাবার জন্য রুমাল দিয়ে কেবলই মুখ চাকতে হয়।,প্রভৃতিতে ঘরের হাওয়া এমন ঠাসা থাকে যে প্রাপ্ত বয়স্ক শ্রমিকদের পর্যন্ত ফুসফুস বাঁচাবার জন্য রুমাল দিয়ে কেবলই মুখ চাকতে হয়।
"অভিযুক্ত ভদ্রলোকের শপথের বদলে শুধু সত্যকথা বলবার প্রতিশ্রুতি দেন কারণ ধর্মভীরু হিসেবে শপথ নেওয়া তাদের ধর্মে বাধে, এবং বলেন যে তারা এইসব অসুখী শিশুদের জন্য অত্যন্ত দয়াপরবশ হয়ে তাদের ৪ ঘণ্টা ঘুমাবার সময় দিয়েছিলেন কিন্তু অবাধ্য শিশুরা কিছুতেই ঘুমাতে চায় না।","অভিযুক্ত ভদ্রলোকের শপথের বদলে শুধু সত্যকথা বলবার প্রতিশ্রুতি দেন কারণ ধর্মভীরু হিসেবে শপথ নেওয়া তাদের ধর্মে বাধে, এবং বলেন যে তারা এইসব অসুখী শিশুদের জন্য অত্যন্ত দয়াপরবশ হয়ে তাদের ৪ ঘণ্টা ঘুমাবার সময় দিয়েছিলেন কিন্তু অবাধ্য শিশুরা কিছুতেই ঘুমাতে চায় না।"
"এটি স্পষ্ট যে এইরূপ অবস্থার মধ্যে উৰও শ্রম থেকে উদ্ধ,ত্ত মূল্যের উৎপাদন গোপন ব্যাপার নয়।","এটি স্পষ্ট যে এইরূপ অবস্থার মধ্যে উৰও শ্রম থেকে উদ্ধ,ত্ত মূল্যের উৎপাদন গোপন ব্যাপার নয়।"
শ্রমিক এখানে শ্রম-সময়ের ঘনীভূত রূপ ছাড়া আর কিছুই নয়।,শ্রমিক এখানে শ্রম-সময়ের ঘনীভূত রূপ ছাড়া আর কিছুই নয়।
পুরো সময়ের মজুর এবং অর্ধ সময়ের মজুর এই দুয়ের মধ্যে সমস্ত ব্যক্তিগত বৈশিষ্ট্য বিলীন হয়েছে।,‘পুরো সময়ের মজুর এবং ‘অর্ধ সময়ের মজুর এই দুয়ের মধ্যে সমস্ত ব্যক্তিগত বৈশিষ্ট্য বিলীন হয়েছে।
"এখন আমরা দৃষ্টি নিক্ষেপ করব উৎপাদনের এমন কয়েকটি শাখার উপরে, যেখানে শোষণ আজও পর্যন্ত অবাধ রয়েছে কিংবা গতকাল পর্যন্তও অবাধ ছিল।","এখন আমরা দৃষ্টি নিক্ষেপ করব উৎপাদনের এমন কয়েকটি শাখার উপরে, যেখানে শোষণ আজও পর্যন্ত অবাধ রয়েছে কিংবা গতকাল পর্যন্তও অবাধ ছিল।"
"শেষ রাতে দুটো, তিনটে চারটের সময়ে নয়-দশ বছরের শিশুদের টেনে ভোলা হয় তাদের ছেডা নোংরা বিছানা থেকে এবং নিছক পেটের খোরাকির জন্য কাজ করতে বাধ্য করা হয় রাত দশ, এগারো, এমনকি রাত বারোটা পর্যন্ত।","শেষ রাতে দুটো, তিনটে চারটের সময়ে নয়-দশ বছরের শিশুদের টেনে ভোলা হয় তাদের ছেডা নোংরা বিছানা থেকে এবং নিছক পেটের খোরাকির জন্য কাজ করতে বাধ্য করা হয় রাত দশ, এগারো, এমনকি রাত বারোটা পর্যন্ত।"
"তাদের হাত পা শুকিয়ে যায়, তাদের বাড় কমে যায়, তাদের মুখ সাদা হয়ে যায় এবং তাদের মনুষ্য-সত্তা এমন এক পাথুরে অসাড়তায় নিঃশেষে লয় হয়ে যায় যে ভাবতেও গা শিউরে ওঠে।","তাদের হাত পা শুকিয়ে যায়, তাদের বাড় কমে যায়, তাদের মুখ সাদা হয়ে যায় এবং তাদের মনুষ্য-সত্তা এমন এক পাথুরে অসাড়তায় নিঃশেষে লয় হয়ে যায় যে ভাবতেও গা শিউরে ওঠে।"
আমরা মোটেই আশ্চর্য হইনা যখন দেখি মিঃ ম্যালেট বা অন্য কোনো কারখানা-মালিক উঠে পঁডিয়ে এই আলোচনায় বাঁধা দেন।,আমরা মোটেই আশ্চর্য হইনা যখন দেখি মিঃ ম্যালেট বা অন্য কোনো কারখানা-মালিক উঠে পঁডিয়ে এই আলোচনায় বাধা দেন।
"যে কথা রেভারেণ্ড মন্টেগু ভ্যাপি বলেছেন, এই ব্যবস্থাটা সামাজিক, শারীরিক, নৈতিক ও আত্মিক—সবদিক থেকেই চরম দাসত্বের ব্যবস্থা।","যে কথা রেভারেণ্ড মন্টেগু ভ্যাপি বলেছেন, এই ব্যবস্থাটা সামাজিক, শারীরিক, নৈতিক ও আত্মিক—সবদিক থেকেই চরম দাসত্বের ব্যবস্থা।"
"এমন একটা শহর সম্পর্কে কী ভাবা যায় বলুন তো, যেখানে মানুষের শ্রম দিবসকে আঠারো ঘণ্টায় নামিয়ে আনার জন্য একটি জনসভা থেকে আবেদন করতে হয়?","এমন একটা শহর সম্পর্কে কী ভাবা যায় বলুন তো, যেখানে মানুষের শ্রম দিবসকে আঠারো ঘণ্টায় নামিয়ে আনার জন্য একটি জনসভা থেকে আবেদন করতে হয়?"
আমরা ভার্জিনিয়া ও ক্যারোলিনার তুলো উৎপাদকদের বিরুদ্ধে বক্তৃতা করি।,. আমরা ভার্জিনিয়া ও ক্যারোলিনার তুলো উৎপাদকদের বিরুদ্ধে বক্তৃতা করি।
"তাদের কালোবাজার, তাদের চাবুক, তাদের নর-মাংসের লেন-দেন কি মানবতার এই ধীরে ধীরে বলী দেওয়া থেকে বেশি জঘন্য, যে-বলি দেওয়া হয়ে থাকে কেবল ধনিকদের জন্য ওড়না ও কলার তৈরি করানোর কাজে?","তাদের কালোবাজার, তাদের চাবুক, তাদের নর-মাংসের লেন-দেন কি মানবতার এই ধীরে ধীরে বলি দেওয়া থেকে বেশি জঘন্য, যে-বলি দেওয়া হয়ে থাকে কেবল ধনিকদের জন্য ওড়না ও কলার তৈরি করানোর কাজে?"
"শিশুদের সাক্ষ্য থেকে বয়স্কদের বিশেষ করে বালিকা ও নারীদের অবস্থা সম্পর্কেও আমরা একটা ধারণা করে নিতে পারি, এবং সেটা শিল্পের এমন একটা শাখায়, যার পাশে সুতোকলকে মনে হবে মনোমত ও স্বাস্থ্যকর শিল্প বলে।","শিশুদের সাক্ষ্য থেকে বয়স্কদের বিশেষ করে বালিকা ও নারীদের অবস্থা সম্পর্কেও আমরা একটা ধারণা করে নিতে পারি, এবং সেটা শিল্পের এমন একটা শাখায়, যার পাশে সুতোকলকে মনে হবে মনোমত ও স্বাস্থ্যকর শিল্প বলে।"
"শুরু থেকেই তার কাজ ছিল “ছাঁচ চালাচালি” (মালসুদ্ধ ছাচ শুকোবার ঘোরে নিয়ে যাওয়া, পরে খালি ছাচ ফিরিয়ে নিয়ে আসা)।","শুরু থেকেই তার কাজ ছিল “ছাঁচ চালাচালি” (মালসুদ্ধ ছাচ শুকোবার ঘরে নিয়ে যাওয়া, পরে খালি ছাচ ফিরিয়ে নিয়ে আসা)।"
এইভাবে আমি কাজ করছি সাত-আট সপ্তাহ।,এইভাবে আমি কাজ করছি সাত-আট সপ্তাহ।
"সাত বছরের একটি শিশুকে, কাজ করতে হয় দিনে পনেরো ঘণ্টা।","সাত বছরের একটি শিশুকে, কাজ করতে হয় দিনে পনেরো ঘণ্টা।"
কখনো কখনো ৪টায়।,কখনো কখনো ৪টায়।
গত পরশু রাত থেকে আমি যাইনি।,গত পরশু রাত থেকে আমি যাইনি।
একজন বাদে সকলেই আবার আজ সকালে এসেছে।,একজন বাদে সকলেই আবার আজ সকালে এসেছে।
রাতে কাজের জন্য বাড়তি কিছু পাইনা।,রাতে কাজের জন্য বাড়তি কিছু পাইনা।
গত সপাহে আমি কাজ করেছি দু রাত।,গত সপাহে আমি কাজ করেছি দু রাত।
"দশ বছরের বালক ফের্নিহাফ বলে, “আমি (খাবারের জন্য) রোজ এক ঘণ্টা করে পাই না; কোণ কোণ দীন পাই কেবল আধ ঘণ্টা-বিষ্যৎবার, শুক্রবার আর শনিবার।","দশ বছরের বালক ফের্নিহাফ বলে, আমি (খাবারের জন্য) রোজ এক ঘণ্টা করে পাই না; কোন কোন দিন পাই কেবল আধ ঘণ্টা-বিষ্যৎবার, শুক্রবার আর শনিবার।"
"ডাঃ গ্রীনহাউ বলেছেন, স্টোক-অন-ট্রেন্ট এবং উলস্টানটনের পটারি-অঞ্চলগুলিতে গড় আয়ু অস্বাভাবিক রকমে কম।","
ডাঃ গ্রীনহাউ বলেছেন, স্টোক-অন-ট্রেন্ট এবং উলস্টানটনের পটারি-অঞ্চলগুলিতে গড় আয়ু অস্বাভাবিক রকমে কম।"
"হানলির একজন চিকিৎসক, নাম ডাঃ বুথবয়ড, বলেন, “পটারি কর্মীদের পর পর প্রত্যেকটি প্রজন্ম লম্বায় খাটো এবং হীনবল হয়ে যাচ্ছে।","হানলির একজন চিকিৎসক, নাম ডাঃ বুথবয়ড, বলেন, “পটারি কর্মীদের পর পর প্রত্যেকটি প্রজন্ম লম্বায় খাটো এবং হীনবল হয়ে যাচ্ছে।"
"পটারি-কমীরা পুরুষ ও নাড়ী উভয়েই, শ্রেণী হিসাবে একটি অধঃপাতিত জনসংখ্যা-দৈহিক ও নৈতিক উভয় দিক থেকেই।","পটারি-কমীরা পুরুষ ও নারী উভয়েই, শ্রেণী হিসাবে একটি অধঃপাতিত জনসংখ্যা-দৈহিক ও নৈতিক উভয় দিক থেকেই।"
"সাধারণ ভাবেই তাদের আয়তন বাড়েনা, আকার স্বাভাবিক হয়না এবং বুকের গঠন সুগঠিত হয় না; তারা অসময়েই বার্ধক্যে আক্রান্ত এবং অবধারিত ভাবেই স্বল্পায়ু হয় : তারা হয় নির্জীব, রক্তহীন এবং তাদের শারীরবৃত্তগত দৌর্বল্য প্রকাশ পায় অজীর্ণ রোগের দুরোগ আক্রমণে, লিভার ও কিডনীর বিশৃংখলায় এবং বাতগ্রস্ততায়।","সাধারণ ভাবেই তাদের আয়তন বাড়েনা, আকার স্বাভাবিক হয়না এবং বুকের গঠন সুগঠিত হয় না; তারা অসময়েই বার্ধক্যে আক্রান্ত এবং অবধারিত ভাবেই স্বল্পায়ু হয় : তারা হয় নির্জীব, রক্তহীন এবং তাদের শারীরবৃত্তগত দৌর্বল্য প্রকাশ পায় অজীর্ণ রোগের দুরোগ আক্রমণে, লিভার ও কিডনীর বিশৃংখলায় এবং বাতগ্রস্ততায়।"
"কিন্তু শব রকম ব্যাধির মধ্যে তার সবচেয়ে বেশি আক্রান্ত হয় বুকের ব্যাধিতে নিউমোনিয়া যক্ষ্মা, ব্রংকাইটিস ও হাঁপানিতে।","কিন্তু সব রকম ব্যাধির মধ্যে তার সবচেয়ে বেশি আক্রান্ত হয় বুকের ব্যাধিতে নিউমোনিয়া যক্ষ্মা, ব্রংকাইটিস ও হাঁপানিতে।"
তার নাম পটারি হাঁপানি’ বা ‘পটারি যক্ষ্মা।,একটা বিশেষ ধরনের রোগ তাদের মধ্যে বিশেষভাবে দেখা যায়
"জেলার জনসংখ্যার ‘অবক্ষয় যে আরো বেশি হয়নি, তার কারণ পার্শ্ববর্তী অঞ্চল থেকে নিরন্তর কর্মী সংগ্রহ এবং অপেক্ষাকৃত।","জেলার জনসংখ্যার ‘অবক্ষয় যে আরো বেশি হয়নি, তার কারণ পার্শ্ববর্তী অঞ্চল থেকে নিরন্তর কর্মী সংগ্রহ এবং অপেক্ষাকৃত।"
স্বাস্থ্যবান নৃ-শাখাগুলির সঙ্গে এদের বৈবাহিক সম্পর্ক।,স্বাস্থ্যবান নৃ-শাখাগুলির সঙ্গে এদের বৈবাহিক সম্পর্ক।
"পটারি কর্মীদের নানাবিধ রোগের কারণগুলির তালিকা দেবার পরে তিনি এক কথায় তা প্রকাশ করেন, দীর্ঘ সময় ধরে কাজ।","পটারি কর্মীদের নানাবিধ রোগের কারণগুলির তালিকা দেবার পরে তিনি এক কথায় তা প্রকাশ করেন, দীর্ঘ সময় ধরে কাজ।"
"অস্বাস্থ্যকর ও বিরক্তিকর বলে এই শিল্পটি এতই কুখ্যাত যে শ্রমিক শ্রেণীর মধ্যে সবচেয়ে দুঃস্থ অংশ যেমন অর্ধাশন-ক্লিষ্ট বিধবা প্রভৃতিরাই কেবল তাদের অর্ধনগ্ন, অর্ধভুক্ত, অশিক্ষিত শিশুদের এতে সঁপে দিতে বাধ্য হয়।","অস্বাস্থ্যকর ও বিরক্তিকর বলে এই শিল্পটি এতই কুখ্যাত যে শ্রমিক শ্রেণীর মধ্যে সবচেয়ে দুঃস্থ অংশ যেমন অর্ধাশন-ক্লিষ্ট বিধবা প্রভৃতিরাই কেবল তাদের অর্ধনগ্ন, অর্ধভুক্ত, অশিক্ষিত শিশুদের এতে সঁপে দিতে বাধ্য হয়।"
দান্তে থাকলে নিশ্চয়ই দেখতেন যে এই শিল্পের বিভীষিকা তার নরকের নিষ্ঠুরতম ভয়াবহতাকেও ছাড়িয়ে গিয়েছে।,দান্তে থাকলে নিশ্চয়ই দেখতেন যে এই শিল্পের বিভীষিকা তার নরকের নিষ্ঠুরতম ভয়াবহতাকেও ছাড়িয়ে গিয়েছে।
"কাগজের ঝালর তৈরির শিল্পের স্থূল নমুনাগুলি যন্ত্রে ছাপা হয়, সূক্ষ্ম নমুনাগুলি ছাপা হয় হাতে (ব্লক-ছাপাই)।","কাগজের ঝালর তৈরির শিল্পের স্থূল নমুনাগুলি যন্ত্রে ছাপা হয়, সূক্ষ্ম নমুনাগুলি ছাপা হয় হাতে (ব্লক-ছাপাই)।"
সবচেয়ে কর্মচঞ্চল মাসগুলি হচ্ছে অক্টোবরের শুরু থেকে এপ্রিলের শেষ পর্যন্ত।,সবচেয়ে কর্মচঞ্চল মাসগুলি হচ্ছে অক্টোবরের শুরু থেকে এপ্রিলের শেষ পর্যন্ত।
আমাকে চেঁচামেচি করে তাদের জাগিয়ে রাখতে হয়।,আমাকে চেঁচামেচি করে তাদের জাগিয়ে রাখতে হয়।
"ডব্লু, ডাফি বলেছেন : ‘আমি দেখেছি ছেলেমেয়েরা যখন আর কেউ কাজের জন্য তাদের চোখ খুলে রাখতে পারত না; অবশ্য তখন আমরা কেউই পারতাম না।","ডব্লু, ডাফি বলেছেন : ‘আমি দেখেছি ছেলেমেয়েরা যখন আর কেউ কাজের জন্য তাদের চোখ খুলে রাখতে পারত না; অবশ্য তখন আমরা কেউই পারতাম না।"
গত শীতকালে প্রত্যেক রাত্রিতে আমি পায়ের যন্ত্রণায় কঁদতাম।,গত শীতকালে প্রত্যেক রাত্রিতে আমি পায়ের যন্ত্রণায় কঁদতাম।
ম্যাঞ্চেস্টারের একটি কারখানার ম্যানেজার-অংশীদার স্মিথ -এর সাক্ষ্য : “আমরা (তার মানে তার।,ম্যাঞ্চেস্টারের একটি কারখানার ম্যানেজার-অংশীদার স্মিথ -এর সাক্ষ্য : “আমরা (তার মানে তার।
"তবু এই একই মিঃ স্মিথ, যিনি বহুবচন ব্যবহার করতে এত ভালবাসেন, একটু হেসে বলেছেন, “যন্ত্রের কাজ বেশি নয়।","তবু এই একই মিঃ স্মিথ, যিনি বহুবচন ব্যবহার করতে এত ভালবাসেন, একটু হেসে বলেছেন, “যন্ত্রের কাজ বেশি নয়।"
অতএব ছাপাখানার মালিকরা বলেন : “হাতের শ্রম যন্ত্রের শ্রমের চেয়ে অনেক স্বাস্থ্যকর।,অতএব ছাপাখানার মালিকরা বলেন : “হাতের শ্রম যন্ত্রের শ্রমের চেয়ে অনেক স্বাস্থ্যকর।
মোটর উপর মালিকরা সক্রোধে এই প্রস্তাবটির বিরোধিতা করেন।,মোটর উপর মালিকরা সক্রোধে এই প্রস্তাবটির বিরোধিতা করেন।
প্রস্থাবটি হচ্ছে “অন্তত খাবার সময়ে যন্ত্র বন্ধ রাখা হোক।,প্রস্থাবটি হচ্ছে “অন্তত খাবার সময়ে যন্ত্র বন্ধ রাখা হোক।
আমাদের যন্ত্র মধ্যাহ্ন ভোজনের জন্য সর্বদাই থামান হয়।,আমাদের যন্ত্র মধ্যাহ্ন ভোজনের জন্য সর্বদাই থামান হয়।
কী উদারতা !,কী উদারতা !
কাগজ ও রঙের এমন কিছু উল্লেখযোগ্য অপচয় হয় না।,কাগজ ও রঙের এমন কিছু উল্লেখযোগ্য অপচয় হয় না।
